archivo,linea,texto_original,traduccion_sugerida
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Delete selected packs. (${removedPacks.length} selected),Eliminar packs seleccionados (${removedPacks.length} seleccionados).
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Cancel,Cancelar
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Delete,Eliminar
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Developer Tools,Herramientas de desarrollador
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Options,Opciones
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Enable Developer Tools,Activar herramientas de desarrollador
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Room ID,ID de sala
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Copy room ID to clipboard. ("${room.roomId}"),Copiar ID de sala al portapapeles ("${room.roomId}").
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Copy,Copiar
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Data,Datos
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,New Message Event,Nuevo evento de mensaje
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Create and send a new message event within the room.,Crear y enviar un nuevo evento de mensaje en la sala.
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Compose,Redactar
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Room State,Estado de la sala
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,State events of the room.,Eventos de estado de la sala.
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Collapse,Contraer
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Expand,Expandir
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Events,Eventos
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Total: ${roomState.size},Total: ${roomState.size}
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Add New,Agregar
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Default,Predeterminado
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Account Data,Datos de cuenta
src/app/features/common-settings/developer-tools/DevelopTools.tsx,*,Private personalization data stored within room.,Datos privados de personalización almacenados en la sala.
src/app/features/create-room/CreateRoom.tsx,*,Type,Tipo
src/app/features/create-room/CreateRoom.tsx,*,Access,Acceso
src/app/features/create-room/CreateRoom.tsx,*,Name,Nombre
src/app/features/create-room/CreateRoom.tsx,*,Topic (Optional),Tema (opcional)
src/app/features/create-room/CreateRoom.tsx,*,Options,Opciones
src/app/features/create-room/CreateRoom.tsx,*,Advanced Options,Opciones avanzadas
src/app/features/create-room/CreateRoom.tsx,*,End-to-End Encryption,Cifrado de extremo a extremo
src/app/features/create-room/CreateRoom.tsx,*,Once this feature is enabled it can't be disabled after the room is created.,Una vez activada esta función no se puede desactivar después de crear la sala.
src/app/features/create-room/CreateRoom.tsx,*,Knock to Join,Solicitar acceso
src/app/features/create-room/CreateRoom.tsx,*,Anyone can send request to join this room.,Cualquiera puede enviar una solicitud para unirse a esta sala.
src/app/features/create-room/CreateRoom.tsx,*,Allow Federation,Permitir federación
src/app/features/create-room/CreateRoom.tsx,*,Users from other servers can join.,Usuarios de otros servidores pueden unirse.
src/app/features/create-room/CreateRoom.tsx,*,Server rate-limited your request for ${millisecondsToMinutes(...)} minutes!,El servidor limitó tu solicitud por ${millisecondsToMinutes(...)} minutos.
src/app/features/create-room/CreateRoom.tsx,*,Create,Crear
src/app/features/create-chat/CreateChat.tsx,*,User ID,ID de usuario
src/app/features/create-chat/CreateChat.tsx,*,Please enter a valid User ID.,Ingresa un ID de usuario válido.
src/app/features/create-chat/CreateChat.tsx,*,Options,Opciones
src/app/features/create-chat/CreateChat.tsx,*,End-to-End Encryption,Cifrado de extremo a extremo
src/app/features/create-chat/CreateChat.tsx,*,Once this feature is enabled it can't be disabled after the room is created.,Una vez activada esta función no se puede desactivar después de crear la sala.
src/app/features/create-chat/CreateChat.tsx,*,Create,Crear
src/app/features/create-space/CreateSpace.tsx,*,Access,Acceso
src/app/features/create-space/CreateSpace.tsx,*,Name,Nombre
src/app/features/create-space/CreateSpace.tsx,*,Topic (Optional),Tema (opcional)
src/app/features/create-space/CreateSpace.tsx,*,Options,Opciones
src/app/features/create-space/CreateSpace.tsx,*,Advanced Options,Opciones avanzadas
src/app/features/create-space/CreateSpace.tsx,*,Knock to Join,Solicitar acceso
src/app/features/create-space/CreateSpace.tsx,*,Anyone can send request to join this space.,Cualquiera puede enviar una solicitud para unirse a este espacio.
src/app/features/create-space/CreateSpace.tsx,*,Allow Federation,Permitir federación
src/app/features/create-space/CreateSpace.tsx,*,Users from other servers can join.,Usuarios de otros servidores pueden unirse.
src/app/features/create-space/CreateSpace.tsx,*,Create,Crear
src/app/features/message-search/MessageSearch.tsx,*,Scroll to Top,Ir al inicio
src/app/features/message-search/MessageSearch.tsx,*,Search Messages,Buscar mensajes
src/app/features/message-search/MessageSearch.tsx,*,Find helpful messages in your community by searching with related keywords.,Encuentra mensajes útiles en tu comunidad buscando por palabras clave.
src/app/features/message-search/MessageSearch.tsx,*,No results found for "${msgSearchParams.term}",Sin resultados para "${msgSearchParams.term}"
src/app/features/message-search/MessageSearch.tsx,*,Results for "${msgSearchParams.term}",Resultados para "${msgSearchParams.term}"
src/app/features/message-search/SearchFilters.tsx,*,Sort by,Ordenar por
src/app/features/message-search/SearchFilters.tsx,*,Recent,Recientes
src/app/features/message-search/SearchFilters.tsx,*,Relevance,Relevancia
src/app/features/message-search/SearchFilters.tsx,*,Rooms for "${searchResult.query}",Salas para "${searchResult.query}"
src/app/features/message-search/SearchFilters.tsx,*,No match found!,¡Sin coincidencias!
src/app/features/message-search/SearchFilters.tsx,*,Save (${localSelected.length}),Guardar (${localSelected.length})
src/app/features/message-search/SearchFilters.tsx,*,Save,Guardar
src/app/features/message-search/SearchFilters.tsx,*,Deselect All,Deseleccionar todo
src/app/features/message-search/SearchFilters.tsx,*,Select Rooms,Seleccionar salas
src/app/features/message-search/SearchFilters.tsx,*,Filter,Filtrar
src/app/features/message-search/SearchFilters.tsx,*,Global,Global
src/app/features/message-search/SearchInput.tsx,*,Search,Buscar
src/app/features/message-search/SearchInput.tsx,*,Search for keyword,Buscar por palabra clave
src/app/features/message-search/SearchInput.tsx,*,Clear,Limpiar
src/app/features/message-search/SearchInput.tsx,*,Enter,Buscar
src/app/features/search/Search.tsx,*,Search,Buscar
src/app/features/search/Search.tsx,*,No Match Found,Sin coincidencias
src/app/features/search/Search.tsx,*,No Rooms,Sin salas
src/app/features/search/Search.tsx,*,No match found for "${result.query}".,Sin coincidencias para "${result.query}".
src/app/features/search/Search.tsx,*,You do not have any Rooms to display yet.,Aún no tienes ninguna sala para mostrar.
src/app/features/search/Search.tsx,*,Type # for rooms @ for DMs and * for spaces. Hotkey: Ctrl + k,Escribe # para salas @ para mensajes directos y * para espacios. Atajo: Ctrl + k
src/app/components/LogoutDialog.tsx,*,Logout,Cerrar sesión
src/app/components/LogoutDialog.tsx,*,Unverified Device,Dispositivo no verificado
src/app/components/LogoutDialog.tsx,*,Verify your device before logging out...,Verifica tu dispositivo antes de cerrar sesión.
src/app/components/LogoutDialog.tsx,*,Alert,Alerta
src/app/components/LogoutDialog.tsx,*,Enable device verification or export your encrypted data...,Activa la verificación del dispositivo o exporta tus datos cifrados.
src/app/components/LogoutDialog.tsx,*,You're about to log out. Are you sure?,Estás por cerrar sesión. ¿Seguro?
src/app/components/LogoutDialog.tsx,*,Failed to logout!,No se pudo cerrar sesión.
src/app/components/LogoutDialog.tsx,*,Cancel,Cancelar
src/app/components/leave-room-prompt/LeaveRoomPrompt.tsx,*,Leave Room,Salir de la sala
src/app/components/leave-room-prompt/LeaveRoomPrompt.tsx,*,Are you sure you want to leave this room?,¿Seguro que quieres salir de esta sala?
src/app/components/leave-room-prompt/LeaveRoomPrompt.tsx,*,Failed to leave room!,No se pudo salir de la sala.
src/app/components/leave-room-prompt/LeaveRoomPrompt.tsx,*,Leaving...,Saliendo...
src/app/components/leave-room-prompt/LeaveRoomPrompt.tsx,*,Leave,Salir
src/app/components/leave-space-prompt/LeaveSpacePrompt.tsx,*,Leave Space,Salir del espacio
src/app/components/leave-space-prompt/LeaveSpacePrompt.tsx,*,Are you sure you want to leave this space?,¿Seguro que quieres salir de este espacio?
src/app/components/leave-space-prompt/LeaveSpacePrompt.tsx,*,Failed to leave space!,No se pudo salir del espacio.
src/app/components/leave-space-prompt/LeaveSpacePrompt.tsx,*,Leaving...,Saliendo...
src/app/components/leave-space-prompt/LeaveSpacePrompt.tsx,*,Leave,Salir
src/app/components/invite-user-prompt/InviteUserPrompt.tsx,*,Invite,Invitar
src/app/components/invite-user-prompt/InviteUserPrompt.tsx,*,User ID,ID de usuario
src/app/components/invite-user-prompt/InviteUserPrompt.tsx,*,Reason (Optional),Motivo (opcional)
src/app/components/join-address-prompt/JoinAddressPrompt.tsx,*,Join with Address,Unirse con dirección
src/app/components/join-address-prompt/JoinAddressPrompt.tsx,*,Enter public address to join the community. Addresses looks like:,Ingresa una dirección pública para unirte a la comunidad. Las direcciones tienen el formato:
src/app/components/join-address-prompt/JoinAddressPrompt.tsx,*,Address,Dirección
src/app/components/join-address-prompt/JoinAddressPrompt.tsx,*,Invalid Address,Dirección inválida
src/app/components/join-address-prompt/JoinAddressPrompt.tsx,*,Open,Abrir
src/app/components/emoji-board/components/SearchInput.tsx,*,Search or Text Reaction ,Buscar o reacción de texto
src/app/components/emoji-board/components/SearchInput.tsx,*,Search,Buscar
src/app/components/emoji-board/components/SearchInput.tsx,*,React,Reaccionar
src/app/components/emoji-board/components/NoStickerPacks.tsx,*,No Sticker Packs!,¡Sin packs de stickers!
src/app/components/emoji-board/components/NoStickerPacks.tsx,*,Add stickers from user room or space settings.,Agrega stickers desde la configuración de usuario sala o espacio.
src/app/components/upload-board/UploadBoard.tsx,*,Files,Archivos
src/app/components/upload-board/UploadBoard.tsx,*,Send,Enviar
src/app/components/upload-board/UploadBoard.tsx,*,Upload Failed,Error al subir
src/app/components/upload-board/UploadBoard.tsx,*,Remove,Eliminar
src/app/components/upload-board/UploadBoard.tsx,*,Remove All,Eliminar todo
src/app/components/user-profile/UserModeration.tsx,*,Kicked User,Usuario expulsado
src/app/components/user-profile/UserModeration.tsx,*,Kicked by:,Expulsado por:
src/app/components/user-profile/UserModeration.tsx,*,Reason:,Motivo:
src/app/components/user-profile/UserModeration.tsx,*,No Reason Provided.,Sin motivo indicado.
src/app/components/user-profile/UserModeration.tsx,*,Banned User,Usuario bloqueado
src/app/components/user-profile/UserModeration.tsx,*,Banned by:,Bloqueado por:
src/app/components/user-profile/UserModeration.tsx,*,Unban,Desbloquear
src/app/components/user-profile/UserModeration.tsx,*,Invited User,Usuario invitado
src/app/components/user-profile/UserModeration.tsx,*,Invited by:,Invitado por:
src/app/components/user-profile/UserModeration.tsx,*,Cancel Invite,Cancelar invitación
src/app/components/user-profile/UserModeration.tsx,*,Moderation,Moderación
src/app/components/user-profile/UserModeration.tsx,*,Reason,Motivo
src/app/components/user-profile/UserModeration.tsx,*,Invite,Invitar
src/app/components/user-profile/UserModeration.tsx,*,Kick,Expulsar
src/app/components/user-profile/UserModeration.tsx,*,Ban,Bloquear
src/app/components/event-readers/EventReaders.tsx,*,Seen by,Visto por
